Simulation,deck_width,deck_width_norm,deck_thickness,deck_thickness_norm,battery_case_thickness,battery_case_thickness_norm,material_density,material_density_norm,mass,mass_norm,displacement,displacement_norm,von_mises_stress,von_mises_stress_norm,stress_safety_factor,stress_safety_factor_norm,deflection_safety_factor,deflection_safety_factor_norm
25,191.4755656,0.187151082,29.28368095,1.42623171,18.24796808,1.225509782,2810,1,10727.9,1.840779455,0.15616,-1.130740209,40305000,-0.822389025,1.252946285,0.813787877,12.80737705,1.385725471
28,150.4053557,-1.233130813,22.59919953,0.363408941,11.48161332,-0.103018734,2810,1,7121.57,-0.385578418,0.15812,-1.086560985,37825000,-1.460458348,1.335095836,1.611464888,12.6486213,1.305378552
32,169.0090868,-0.589780254,24.70438205,0.698129882,9.196004307,-0.551782781,2810,1,8069.14,0.199401307,0.18134,-0.563172414,42355000,-0.29495269,1.192303152,0.224939466,11.02900629,0.485684925
38,134.7222191,-1.775481949,10.58243787,-1.547238591,19.72248761,1.515021833,2810,1,4915.73,-1.747347654,0.19048,-0.357152968,44712000,0.311470452,1.129450707,-0.385361499,10.49979,0.21784645
40,203.0346085,0.586883624,14.4104279,-0.938593775,15.17573213,0.622296795,2810,1,6770.12,-0.602545105,0.18633,-0.450695714,40047000,-0.888768818,1.261018303,0.892167658,10.73364461,0.3362012
1,237.9509194,1.399130379,9.092689515,-0.49344243,8.919692047,-1.70421566,7800,1,14771.1,-0.02698262,0.08941,-0.277339305,192912000,0.499273976,1.14349548,-0.577084285,22.36886254,-0.245942186
15,234.8684617,1.322640155,17.19959689,0.463691824,21.26581297,0.776612584,7800,1,7193.87,-1.021212916,0.18641,0.542016605,121288000,-1.539820023,1.818761955,1.783139643,10.72903814,-1.074602579
16,176.7067508,-0.120624488,11.20355745,-0.244224829,22.65315888,1.055385726,7800,1,3568.38,-1.49692396,0.43537,2.644973796,205760000,0.865049132,1.072093701,-0.826651222,4.593793785,-1.511381849
19,164.3078239,-0.428299976,7.611037771,-0.668372224,17.19144201,-0.042091091,7800,1,24509.3,1.250794808,0.05755,-0.546459711,152892000,-0.640072358,1.442809303,0.469091816,34.75238923,0.635663734
20,188.4120363,0.169838506,5.638185679,-0.901295116,21.67823555,0.859484733,7800,1,12649.5,-0.305363901,0.09025,-0.270243852,194780000,0.55245486,1.132529007,-0.615414829,22.16066482,-0.260764163
21,155.8865155,-0.637272106,23.16354504,1.167819649,17.92423363,0.105155981,7800,1,21790.7,0.894079428,0.05106,-0.601280534,154616000,-0.590991072,1.426721685,0.412861596,39.16960439,0.950133362
22,126.5173599,-1.366058506,22.12592527,1.045314064,23.87766589,1.301438034,7800,1,19681.5,0.617325187,0.03934,-0.700279001,128116000,-1.345430799,1.721830216,1.444339159,50.83884087,1.780887656
34,129.5337451,-1.291207852,6.746287193,-0.770468172,12.32554225,-1.019844478,7800,1,10157.6,-0.632333318,0.0827,-0.334018462,195632000,0.576710809,1.127596712,-0.632654424,24.18379686,-0.116733692
35,224.1369095,1.056340047,2.854488112,-1.229949703,14.36604031,-0.609827012,7800,1,9697.05,-0.692763417,0.13201,0.082501538,230016000,1.555603472,0.959037632,-1.221810244,15.1503674,-0.759840061
36,177.3571047,-0.104486159,27.08605422,1.630926937,13.80730704,-0.722098817,7800,1,25748.4,1.413380708,0.05833,-0.539871075,177736000,0.067222003,1.241132916,-0.235817212,34.28767358,0.602579777
,,,,,,,,,,,,,,,,,,
,density,yield,,,,,,,,,,,,,,,,
6061,2700,55148500,,,,,,,,,,,,,,,,
7075,2810,50500000,,,,,,,,,,,,,,,,
mag all,1700,130000000,,,,,,,,,,,,,,,,
plain carbon steel,7800,220594000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,deck_width,deck_thickness,battery_case_thickness,material_density,mass,displacement,von_mises_stress_norm,stress_safety_factor,deflection_safety_factor,,,,,,,,
Average,Magnesium Alloy,176.25,18.45,12.08,1700.00,4096.95,0.42,95907400.00,1.53,6.48,,,,,,,,
,Aluminium Alloy 6061,176.22,15.83,14.51,2700.00,5999.40,0.24,44655700.00,1.29,9.91,,,,,,,,
,Aluminium Alloy 7075,186.06,20.31,12.01,2810.00,7746.14,0.21,43501400.00,1.17,10.07,,,,,,,,
,Plain Carbon Steel,181.57,13.27,17.40,7800.00,14976.74,0.12,175374800.00,1.31,25.82,,,,,,,,
Standard Deviation,Magnesium Alloy,32.17,10.05,5.96,0.00,1395.05,0.27,43634871.38,0.46,3.52,,,,,,,,
,Aluminium Alloy 6061,42.06,9.51,6.22,0.00,2027.25,0.11,9666294.09,0.29,3.92,,,,,,,,
,Aluminium Alloy 7075,28.92,6.29,5.09,0.00,1619.83,0.04,3886725.02,0.10,1.98,,,,,,,,
,Plain Carbon Steel,40.30,8.47,4.98,0.00,7621.20,0.12,35125403.74,0.29,14.05,,,,,,,,
Upper Bound,Magnesium Alloy,1.98,1.35,2.00,0.00,,,,,,,,,,,,,
,Aluminium Alloy 6061,1.52,1.70,1.53,0.00,,,,,,,,,,,,,
,Aluminium Alloy 7075,1.87,1.86,2.35,0.00,,,,,,,,,,,,,
,Plain Carbon Steel,1.45,2.21,1.33,0.00,,,,,,,,,,,,,
Lower Bound,Magnesium Alloy,-1.75,-1.64,-1.69,0.00,,,,,,,,,,,,,
,Aluminium Alloy 6061,-1.34,-1.45,-2.01,0.00,,,,,,,,,,,,,
,Aluminium Alloy 7075,-2.28,-2.91,-1.96,0.00,,,,,,,,,,,,,
,Plain Carbon Steel,-1.53,-1.33,-3.09,0.00,,,,,,,,,,,,,
